,Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,sam_estate,City,Province,class_code,class_desc
0,,7063050,,,Sm Megamall A,,Edsa,Ave,,Mandaluyong City,Metro Manila,,
1,,3983090,"""K"" Line Logistics (Phils.), Inc.",,Oyster Complex Building,,Ninoy Aquino,Ave,,Paranaque City,Metro Manila,,
2,,8251854,"""K"" Line Logistics (Phils.), Inc.",,,,Ninoy Aquino,Ave,,Paranaque City,Metro Manila,,
3,,5562917,"""K"" Line Maritime Training Corporation",,K-Line Building,,Coralway,Drv,CENTRAL BUSINESS PARK 1,PC,Metro Manila,,
4,,6318181,(Bank of the Phil Islands),,Mayflower Plaza Building,,United,St,,Mandaluyong City,Metro Manila,,
5,,2563748,(Lbc) Emt Forwarding Servicesinc,,TUTUBAN CENTER MALL 1,,C M Recto,Ave,Tutuban Center,Manila City,Metro Manila,,
6,,8911380/8932572,(Security Bank and Trust Company),,Security Bank Centre,6776,Ayala,Ave,Legaspi Village,Makati City,Metro Manila,,
8,,8911377/8911378,(Security Bank and Trust Company),,,,,,,Or Call:,,,
10,,8187677/8911376,(Security Bank and Trust Company),,,,,,,,,,
12,,8911374/8911371,(Security Bank and Trust Company),,,,,,,,,,
14,,8676788/8911367,(Security Bank and Trust Company),,,,,,,,,,
16,,8937943,(Security Bank and Trust Company),,,,,,,,,,
17,,8922228,(Security Bank Corporation),,Medical Plaza Makati,,Amorsolo,St,Legaspi Village,Makati City,Metro Manila,,
18,,8508483,(Standard Chartered),,Molito Building,,Madrigal,Ave,Ayala Alabang Village,Muntinlupa City,Metro Manila,,
19,,4411091,1 DOCUMENT CORPORATION,,Lra Building,,East,Ave,,QC,Metro Manila,,
20,,6963927,100X CORP.,,STRATA 2000,,F Ortigas Jr,Rd,Ortigas Center,Pasig City,Metro Manila,,
21,,8626795,1174 INTERNET CAFE,,Cva Building,,National,Rd,,Muntinlupa City,Metro Manila,,
22,,6327683,123 PIONEER STUDIOS,,,123,Pioneer,St,,Mandaluyong City,Metro Manila,,
23,,7117345/7117343,128 DREAM FOUNTAIN CORPORATION,,,7,Agno,St,,QC,Metro Manila,,
25,,7066106,128 TECH CONSULTING INC,,Aic Burgundy Empire Tower,,Adb,Ave,Ortigas Center,,Metro Manila,,
26,,7141849/7142286,168 TRANSPORT CORPORATION,,Le Mirage,2126,A Mabini,St,,Manila City,Metro Manila,,
28,,8560279/8560210,18 2 PROPERTY HOLDINGS INC,,Net Square,,28TH,St,Bonifacio Global City,,Metro Manila,,
30,,8699284,18 FOLDS PH CORPORATION,,Karrivin Plaza Building B,2316,Chino Roces,Ave,Kayamanan C,,Metro Manila,,
31,,8933924/8933923,1CCI:SECURITY BROKERS CORPORATION,,Pcci Corporate Center,118,L P Leviste,St,Salcedo Village,Makati City,Metro Manila,,
33,,8933922,1CCI:SECURITY BROKERS CORPORATION,,,,,,,Or Call:,,,
34,,8112292/8934341,1CCI:SECURITY BROKERS CORPORATION,,Tower One and Exchange Plaza,6767,Ayala,Ave,Salcedo Village,Makati City,Metro Manila,,
36,,8402150/8401953,1CCI:SECURITY BROKERS CORPORATION,,,,,,,Or Call:,,,
38,,6891234/6891000,"1ISA, INC.",,STRATA 100,,F Ortigas Jr,Rd,Ortigas Center,,Metro Manila,,
40,,8014350,1ST EDGECOM CELLULAR PHONES ACCESSORIES CENTER,,Sm South Mall,,Alabang-Zapote,Rd,,,Metro Manila,,
41,,3614262,1ST FORCE GAMING & INTERNET CAFE,,,28,L Bustamante,St,,Caloocan City,Metro Manila,,
42,,6381982/6381984,1ST NORTHERN INT'L PLACEMENT INC,,Cityland Pioneer Condominium,,Pioneer,St,,Mandaluyong City,Metro Manila,,
44,,6381981,1ST NORTHERN INT'L PLACEMENT INC,,,,,,,Or Call:,,,
45,,6320626,2 LOG HOLDINGS INCORPORATED,,Robinsons Equitable Tower,,Adb,Ave,,QC,Metro Manila,,
46,,6313911,211 PROMOWORKS MARKETING INC,,Bldg A,123,Pioneer,St,,Mandaluyong City,Metro Manila,,
47,,6387429/6387716,211 PROMOWORKS MARKETING INC,,,123,Pioneer,St,,Mandaluyong City,Metro Manila,,
49,,8326294,212 DEGREES EVENT MANAGEMENT INC,,CITYLAND CONDOMINIUM 3,105,V a Rufino,St,Legaspi Village,,Metro Manila,,
50,,2940507/2940471,"24K ACCOUNTS CONSULTANT, INC.",,Fass Building,11,Pittsburgh,St,,QC,Metro Manila,,
52,,2943383/2940155,"24K ACCOUNTS CONSULTANT, INC.",,,,,,,Or Call:,,,
54,,2942266,"24K ACCOUNTS CONSULTANT, INC.",,,,,,,,,,
55,,9423168,24K PHEONIX EMPIRE GASOLINE STATION,,,817,J P Rizal,St,Marikina Greenheights Subd,Marikina City,Metro Manila,,
56,,5254442,"2GO EXPRESS, INC.",,Times Plaza Building,,United Nations,Ave,,Manila City,Metro Manila,,
57,,7160784,"2GO EXPRESS, INC.",,Sm City Sta Mesa Annex Bldg,6,Aurora,Bvd,,QC,Metro Manila,,
58,,8541896,"2GO EXPRESS, INC.",,Manila Domestic Terminal,,Domestic,Rd,,PC,Metro Manila,,
59,,8329916,"2GO EXPRESS, INC.",,SYCAMORE ARCADE BUILDING 1,,Buencamino,St,,Muntinlupa City,Metro Manila,,
60,,8065043,"2GO EXPRESS, INC.",,Sm South Mall,,Alabang-Zapote,Rd,,Las Pinas City,Metro Manila,,
61,,8540722/5254169,"2GO EXPRESS, INC.",,Aboitiz Hangar Gen Aviation Ar,,Domestic,Rd,,PC,Metro Manila,,
63,,8514078,"2GO EXPRESS, INC.",,,,,,,Or Call:,,,
64,,8540859/8540857,"2GO EXPRESS, INC.",,Asia Industries Building,124,Domestic,Rd,,PC,Metro Manila,,
66,,8540855/8540854,"2GO EXPRESS, INC.",,,,,,,Or Call:,,,
68,,8540723,"2GO EXPRESS, INC.",,,,,,,,,,
69,,6341737,"2GO EXPRESS, INC.",,Sm Megamall B,,Edsa,Ave,,Mandaluyong City,Metro Manila,,
70,,5169167,"2GO GROUP, INC.",,,,Marcos,Rd,North Harbor,Manila City,Metro Manila,,
71,,4000612,"2GO GROUP, INC.",,Times Plaza Building,,Taft,Ave,,Manila City,Metro Manila,,
72,,8900484,2LINK CORPORATION,,,2733,Zenaida,St,,Makati City,Metro Manila,,
73,,5514847/5514820,2M TECHNOLOGIES & EQUIPMENT SUPPLIES INC,,Diplomat Condominium,,Russel,Ave,,PC,Metro Manila,,
75,,5515770,2M TECHNOLOGIES & EQUIPMENT SUPPLIES INC,,,,,,,Or Call:,,,
76,,9281009,317 K PROPERTIES,,Oracle Bldg,317,Katipunan,Ave,,QC,Metro Manila,,
77,,8003845,318 INTERIORS AND FURNISHINGS INCORPORATED,,,318,Alabang-Zapote,Rd,,Las Pinas City,Metro Manila,,
78,,6380333,333 FOODS INC.,,Annapolis Tower,43,Annapolis,St,,San Juan City,Metro Manila,,
79,,8465069,360Training.com Inc.,,Net Square,,28TH,St,Bonifacio Global City,Taguig City,Metro Manila,,
80,,6310088/6310087,3A SYSTEM MACHINERY (PHIL) CORP,,,2,Sta Rosa,St,,Pasig City,Metro Manila,,
82,,8129584/8128518,3DA INBUILD INC.,,Salustiana D Ty Tower,104,Paseo de Roxas,Ave,Legaspi Village,,Metro Manila,,
84,,6560664,3I INTELLIGENT INFRASTRUCTURE INC,,Cristobal Place,1,Cristobal,St,,,Metro Manila,,
85,,7060894/7060892,"3I INTERNATIONAL SECURITY SERVICES, INC",,Philippine Stock Exch We Twr,,Exchange,Rd,Ortigas Center,Pasig City,Metro Manila,,
87,,8019613,3M PHILIPPINES INCORPORATED,,,1292,Gladiola,St,Dasmarinas Village,,Metro Manila,,
88,,6542599,4 HERMANAS INTERNATIONAL MARKETING CORPORATION,,One Shangri-La Place,,Shaw,Bvd,,Mandaluyong City,Metro Manila,,
89,,6561718,4 HERMANAS INTERNATIONAL MARKETING CORPORATION,,Estancia Mall,,Shaw,Bvd,Capitol Commons,Pasig City,Metro Manila,,
90,,6381434/6381433,4 LIFE BV CENTER PHILIPPI NES CORPORATION,,Smppi Corporate Center,,St Francis,St,,Mandaluyong City,Metro Manila,,
92,,2930065,4HG MULTIPURPOSE COOPERATIVE,,,235,Gen D Mc Arthur,Hwy,,,Metro Manila,,
93,,8346508/8334971,4TH DIMENSION MULTIPURPOSE COOPERATIVE,,ANTEL 2000 CORPORATE CENTER,121,Valero,St,Salcedo Village,Makati City,Metro Manila,,
95,,8937883/8937739,5 SYSTEMS LOGISTICS INT'L INC,,Cityland Pasong Tamo Tower,2210,Chino Roces,Ave,Kayamanan A,,Metro Manila,,
97,,8875755,5CORNERS SYSTEMS INC,,Pearl Bank Center,146,Valero,St,Salcedo Village,,Metro Manila,,
98,,5518760,"5Uniglobe Travelware Co., Inc.",,GLORIETTA 3,,North,Drv,Ayala Center,Makati City,Metro Manila,,
99,,7266619,608 Motorists Service Center Corp.,,Total Service Station,,Ortigas,Ave,,San Juan City,Metro Manila,,
100,,3679815,618 DIESEL PARTS SUPPLY,,,80,Rizal Extension,Ave,,Caloocan City,Metro Manila,,
101,,8567862/8567863,"624 PROPERTY HOLDINGS INC.,",,Net Quad Center,,4TH,Ave,Fort Bonifacio Global City,Makati City,Metro Manila,,
103,,8567861,"624 PROPERTY HOLDINGS INC.,",,,,,,,Or Call:,,,
104,,8875941,6F AESTHETICS & ANTIAGEING CENTER,,Medical Plaza Makati,,Amorsolo,St,Legaspi Village,Makati City,Metro Manila,,
105,,6378101/6378080,8101 PEARL PLAZA,,8101 PEARL PLAZA,,Pearl,Drv,Ortigas Center,Pasig City,Metro Manila,,
107,,6874539,8101 PEARL PLAZA,,,,,,,Or Call:,,,
108,,7061436,88 AMUSEMENT & ENTERTAINMENT CORPORATION,,Metrowalk Plaza,,Meralco,Ave,Metrowalk Plaza Comm'l Ctr,Pasig City,Metro Manila,,
109,,3746253,88 ELECTRONICS SUPPLY,,N Dela Merced Building,,West,Ave,,QC,Metro Manila,,
110,,6506089,88 NORTH EAST VENTURES CORP.,,Connecticut Arcade,,Connecticut,St,Greenhills Shopping Center,San Juan City,Metro Manila,,
111,,8337901,8990 HOUSING DEVELOPMENT CORPORATION,,,8990,East Service,Rd,,Muntinlupa City,Metro Manila,,
112,,8842492,911 ALARM INC,,Dpc Place,2322,Chino Roces,Ave,Kayamanan C,Makati City,Metro Manila,,
113,,9281475,911 LANGUAGE INC,,Kalayaan Plaza Mall,89,Kalayaan,Ave,,QC,Metro Manila,,
114,,8911008/8911010,A & a Securities Inc,,Security Bank Centre,6776,Ayala,Ave,Legaspi Village,Makati City,Metro Manila,,
116,,8911009,A & a Securities Inc,,,,,,,Or Call:,,,
117,,8870059,A & N Holdings Corporation,,A&n Building,9694,Kamagong,St,San Antonio Village,Makati City,Metro Manila,,
118,,9315715,A a Alarilla Construction Incorporated,,Verde Oro Building,535,Commonwealth,Ave,,QC,Metro Manila,,
119,,6386832,A Brown Company Inc,,Philippine Stock Exch We Twr,,Exchange,Rd,Ortigas Center,Pasig City,Metro Manila,,
120,,8177842,A Child Can Foundation Co Ramon O. Cojuangco,,Dpc Place,2322,Chino Roces,Ave,Kayamanan C,Makati City,Metro Manila,,
121,,8150721/8150719,A Cj O Shopping Corporation,,Avecshares Center,,University Park,St,Fort Bonifacio Global City,Makati City,Metro Manila,,
123,,8150725/8080577,A Cj O Shopping Corporation,,,,,,,Or Call:,,,
125,,8150723,A Cj O Shopping Corporation,,,,,,,,,,
126,,6453496,A Cruz Market Place,,,211,E Dela Paz,St,,Marikina City,Metro Manila,,
127,,5366508,A J & J Cargo Movers,,,2942,Lorenzo Dela Paz,St,,Manila City,Metro Manila,,
128,,7227616/7227035,A J Mark Landholdings Devt Corporation,,Annapolis Wilshire Plaza,11,Annapolis,St,,San Juan City,Metro Manila,,
130,,8517778/8517777,A Ju Global Transport Corporation,,,1016,Sunrise,St,Concorde Village,,Metro Manila,,
132,,8517465,A Ju Global Transport Corporation,,,,,,,Or Call:,,,
133,,8821258,A L Yabut Management and Development Corporation,,JACINTA 2 BUILDING,,Edsa,Ave,,Makati City,Metro Manila,,
134,,2420173,A M Oreta Jr and Company Incorporated,,World Trade Exchange Building,215,Juan Luna,St,,Manila City,Metro Manila,,
135,,7721661/7721662,A Plus International School Inc.,,Festival Supermall,,Corporate,Ave,Filinvest Corporate City,Muntinlupa City,Metro Manila,,
137,,7721664/7721663,A Plus International School Inc.,,,,,,,Or Call:,,,
139,,8163060/8159752,A R M Resources Inc,,Marvin Plaza,2153,Chino Roces,Ave,,,Metro Manila,,
141,,8159979,A R M Resources Inc,,,,,,,Or Call:,,,
142,,8940670,A S C Holding Corporation,,Liberty Building,835,A S Arnaiz,Ave,Legaspi Village,Makati City,Metro Manila,,
143,,2776595/2776583,A S Signs Inc,,,33,Maysan,Rd,,Valenzuela City,Metro Manila,,
145,,7343701,A Salonga Music Sports & General Merchandise,,,678,G Puyat,St,,,Metro Manila,,
146,,8520508,A Soriano Aviation Incorporated,,,,Domestic,Rd,,PC,Metro Manila,,
147,,8520299,A Soriano Aviation Incorporated,,Soriano Aviation Hangar,,Andrew,Ave,,PC,Metro Manila,,
148,,8543593/8520948,A Soriano Aviation Incorporated,,A Soriano Hangar,,Andrew,Ave,,PC,Metro Manila,,
150,,8333855,A Soriano Aviation Incorporated,,,,,,,Or Call:,,,
151,,8190263/8116044,A Soriano Corporation,,Pacific Star Building,,Makati,Ave,Salcedo Village,Makati City,Metro Manila,,
153,,8190258/8190255,A Soriano Corporation,,,,,,,Or Call:,,,
155,,8190252/8190253,A Soriano Corporation,,,,,,,,,,
157,,8190257,A Soriano Corporation,,,,,,,,,,
158,,8190256/8190261,A Soriano Corporation,,,,Taruc,St,Oreta Subdivision,Valenzuela City,Metro Manila,,
160,,8190260/8190254,A Soriano Corporation,,,,,,,Or Call:,,,
162,,8190259/8190262,A Soriano Corporation,,,,,,,,,,
164,,8190251/8116045,A Soriano Corporation,,,,,,,,,,
166,,6352387/8190264,A Soriano Corporation,,Quad Alpha Centrum,125,Pioneer,St,,,Metro Manila,,
168,,8190268/8190266,A Soriano Corporation,,,,,,,Or Call:,,,
170,,8190270/8190265,A Soriano Corporation,,,,,,,,,,
172,,8190267/8190269,A Soriano Corporation,,,,,,,,,,
174,,6353617/6359907,A&b Expedio Integrated Mktg Communications Inc,,Idc Building,,E Rodriguez Jr,Ave,,,Metro Manila,,
176,,6349130,A&b Expedio Integrated Mktg Communications Inc,,,,,,,Or Call:,,,
177,,8486241,A. A. Amador Associates,,Tower One and Exchange Plaza,6767,Ayala,Ave,Salcedo Village,Makati City,Metro Manila,,
178,,2750110,A. Tung Chingco Manufacturing Corporation,,,19,Golden,Rd,Caloocan Industrial Subd,Caloocan City,Metro Manila,,
179,,8896024,"A.B. Kalalo & Associates Management Consultants, Inc",,88 CORPORATE CENTER,141,Sedeno,St,Salcedo Village,Makati City,Metro Manila,,
180,,7147945,"A.B.U. Talent Management, Inc.",,Midland Plaza Hotel,,M Adriatico,St,,Manila City,Metro Manila,,
181,,8934726/8934730,A.C. Steel Industries Inc.,,South Star Plaza,,Pres S Osmena Sr,Hwy,,Makati City,Metro Manila,,
183,,8934727/8934732,A.C. Steel Industries Inc.,,,,,,,Or Call:,,,
185,,8934725/8672817,A.C. Steel Industries Inc.,,LEGASPI TOWERS 200,,Paseo de Roxas,Ave,Legaspi Village,,Metro Manila,,
187,,2777479,"A1 DRIVING COMPANY, INC.",,,164,Rosal,St,PINGKIAN VILLAGE 3,,Metro Manila,,
188,,3747605,A1 FINANCIAL SERVICES INC,,RIZALINA BUILDING 2,1675,Quezon,Ave,,QC,Metro Manila,,
189,,8758423,A1 GLOBAL LOGISTICS SERVICES,,,8414,Dr a Santos,Ave,,Paranaque City,Metro Manila,,
190,,6959359,A1FOODCONCEPTS INC.,,The Portal,,Madison,St,Greenfield District,Mandaluyong City,Metro Manila,,
191,,9314607,Aa Alarilla Construction Company Incorporated,,Verde Oro Building,535,Commonwealth,Ave,,QC,Metro Manila,,
192,,7277822/7268715,Aaa Pharma Inc,,,105,Maryland,St,,QC,Metro Manila,,
194,,4429932/4429930,Aac Plastic,,,810,Pinagbayanan,St,,,Metro Manila,,
196,,8433663/5566800,Aai Worldwide Logistics Inc.,,,,West Service,Rd,,,Metro Manila,,
198,,5533388,Aai Worldwide Logistics Inc.,,,,,,,Or Call:,,,
199,,8232459/5566300,Aai Worldwide Logistics Inc.,,,,Kaingin,Rd,Airlift Asia Compound,Paranaque City,Metro Manila,,
201,,4780534/5562023,Aai Worldwide Logistics Inc.,,,,,,,Or Call:,,,
203,,8219823/4780605,Aai Worldwide Logistics Inc.,,Freight Management Center Bldg,,Kaingin,Rd,Multinational Village,,Metro Manila,,
205,,7761046,Aai Worldwide Logistics Inc.,,,,,,,Or Call:,,,
206,,8222489/8222526,Aai Worldwide Logistics Inc.,,Airlift Asia Building,,Kaingin,Rd,Multinational Village,Paranaque City,Metro Manila,,
208,,7761043/5536407,Aai Worldwide Logistics Inc.,,,,,,,Or Call:,,,
210,,8222527/8222529,Aai Worldwide Logistics Inc.,,,,,,,,,,
212,,8231367/5536552,Aai Worldwide Logistics Inc.,,,,,,,,,,
214,,2431341,Aava Crew Managers(phils),,Leyba Building,381,Dasmarinas,St,,,Metro Manila,,
215,,8317954,Ab Capital & Investment Corporation,,Tower One and Exchange Plaza,6767,Ayala,Ave,Salcedo Village,Makati City,Metro Manila,,
216,,4039004/4039722,"Ab Capital Securities, Inc.",,Metro Gaisano Mall,,Alabang-Zapote,Rd,,Muntinlupa City,Metro Manila,,
218,,7051317/7051757,"Ab Capital Securities, Inc.",,Alcco Building,101,Ortigas,Ave,,,Metro Manila,,
220,,4411844/4411842,Ab Leisure Exponent Inc,,Sm City North Annex,,Edsa,Ave,,,Metro Manila,,
222,,6673070/6673069,"Ab Leisure Global, Inc.",,Philippine Stock Exch We Twr,,Exchange,Rd,Ortigas Center,,Metro Manila,,
224,,6568058,AB Leisure Exponent Inc.,,Greenhills Town Center,2,Granada,St,,,Metro Manila,,
225,,5502296,AB Leisure Exponent Inc.,,Festival Supermall,,Corporate,Ave,Filinvest Corporate City,Muntinlupa City,Metro Manila,,
226,,3544018,AB Leisure Exponent Inc.,,Harrison Plaza Building,,M Adriatico,St,Harrison Plaza Compound,Manila City,Metro Manila,,
227,,6341526,AB Leisure Exponent Inc.,,Intrepid Plaza Building,,E Rodriguez Jr,Ave,,QC,Metro Manila,,
228,,5719283,AB Leisure Exponent Inc.,,Silver City Auto Mall,,Frontera,Drv,Tiendesitas D Frontera Verde,Pasig City,Metro Manila,,
229,,5515600,AB Leisure Exponent Inc.,,Merville Arcade,,West Service,Rd,,Paranaque City,Metro Manila,,
230,,4034215,AB Leisure Exponent Inc.,,Elorde Sports Center,,Dr a Santos,Ave,,Paranaque City,Metro Manila,,
231,,8665523,AB Leisure Exponent Inc.,,,967,Edsa,Ave,Phil-Am Homes,QC,Metro Manila,,
232,,7210652,AB Leisure Exponent Inc.,,,,E Rodriguez Sr,Ave,,QC,Metro Manila,,
233,,7423873,AB Leisure Exponent Inc.,,Royal Arranque Commercial Ctr,1388,C M Recto,Ave,,Manila City,Metro Manila,,
234,,5562397,AB Leisure Exponent Inc.,,Madison Square,32,Alabang-Zapote,Rd,,Las Pinas City,Metro Manila,,
235,,6321620,AB Leisure Exponent Inc.,,Robinsons Galleria Mall,,Edsa,Ave,,QC,Metro Manila,,
236,,2552739,AB Leisure Exponent Inc.,,,1253,J Bocobo,St,,Manila City,Metro Manila,,
237,,3742214,AB Leisure Exponent Inc.,,Congressional Town Center,23,Congressional,Ave,,QC,Metro Manila,,
238,,6505641,AB Leisure Exponent Inc.,,Philippine Stock Exch We Twr,,Exchange,Rd,Ortigas Center,Pasig City,Metro Manila,,
239,,2773537,AB Leisure Exponent Inc.,,Romero Commercial Bldg,1337,Edsa,Ave,,QC,Metro Manila,,
240,,9422132,AB Leisure Exponent Inc.,,Web Jet Acropolis Building,8120,E Rodriguez Jr,Ave,,QC,Metro Manila,,
241,,8357601,AB Leisure Exponent Inc.,,Metropoint Taft-Edsa,,Taft,Ave,,PC,Metro Manila,,
242,,5705600,AB Leisure Exponent Inc.,,Graceland Plaza,,J P Rizal,St,,Marikina City,Metro Manila,,
243,,7428620,AB Leisure Exponent Inc.,,Broben Theatre,,C M Recto,Ave,,Manila City,Metro Manila,,
244,,5321808/8349141,AB Leisure Exponent Inc.,,Quadrillion Mansion,151,N Domingo,St,,San Juan City,Metro Manila,,
246,,9419147,AB Leisure Exponent Inc.,,HARMONIC 7,,F Blumentritt,St,,,Metro Manila,,
247,,8863902,Ab's Line Enterprises,,,1401,P Ocampo Sr,St,,Makati City,Metro Manila,,
248,,8163925/8160544,Ababa Corporation,,UPRC 1 BUILDING,2230,Chino Roces,Ave,Kayamanan A,Makati City,Metro Manila,,
250,,5218726,Abacast Shipping and Management Agency,,Enriqueta Building,1677,A Mabini,St,,,Metro Manila,,
251,,5256324/5252541,Abacast Travel Incorporated,,Enriqueta Building,1675,A Mabini,St,,Manila City,Metro Manila,,
253,,5256304,Abacast Travel Incorporated,,,,,,,Or Call:,,,
254,,8503578,Abacus Book & Card Corp,,Festival Supermall,,Corporate,Ave,Filinvest Corporate City,Muntinlupa City,Metro Manila,,
255,,9267024,Abacus Book & Card Corp,,,297,Katipunan,Ave,,QC,Metro Manila,,
256,,8250139/8503576,Abacus Book & Card Corp,,Nbs Sm Super Center,,New Sucat,Rd,,Paranaque City,Metro Manila,,
258,,8297712/8503581,Abacus Book & Card Corp,,Sm Super Center,,New Sucat,Rd,,,Metro Manila,,
260,,8503577/8297418,Abacus Book & Card Corp,,,,,,,Or Call:,,,
262,,8503579/8503580,Abacus Book & Card Corp,,,,,,,,,,
264,,4267242/9212956,Abacus Book & Card Corp.,,,12,Congressional,Ave,,,Metro Manila,,
266,,4267240/4267244,Abacus Book & Card Corp.,,,,,,,Or Call:,,,
268,,4267247/4267248,Abacus Book & Card Corp.,,,,,,,,,,
270,,4267249,Abacus Book & Card Corp.,,,,,,,,,,
271,,6870609/6876148,Abacus Book & Card Corporation,,Cyberone Building,,Eastwood,Ave,Eastwood City,QC,Metro Manila,,
273,,6874753/6876092,Abacus Book & Card Corporation,,,,,,,Or Call:,,,
275,,6876610,Abacus Book & Card Corporation,,,,,,,,,,
276,,8052723/8062343,Abacus Book and Card Corp.,,Sm South Mall,,Alabang-Zapote,Rd,,Las Pinas City,Metro Manila,,
278,,6403479/6400902,Abacus Book and Card Corporation,,Danny Floro Building,,C Raymundo,Ave,,,Metro Manila,,
280,,9201069/6419942,Abacus Book and Card Corporation,,University Center,279,Katipunan,Ave,,,Metro Manila,,
282,,9201068/6403107,Abacus Book and Card Corporation,,,,,,,Or Call:,,,
284,,9201067/6401412,Abacus Book and Card Corporation,,,,,,,,,,
286,,6401698,Abacus Book and Card Corporation,,,,,,,,,,
287,,8118362/8483874,Abacus Distribution Systems Philippines Incorporated,,Trafalgar Plaza,105,H v Dela Costa,St,Salcedo Village,Makati City,Metro Manila,,
289,,2424312,Abacus Securities Corporation,,Federal Tower,,Dasmarinas,St,,,Metro Manila,,
290,,6332022/2444110,Abacus Securities Corporation,,Philippine Stock Exch Ea Twr,,Exchange,Rd,Ortigas Center,Pasig City,Metro Manila,,
292,,6346241,Abacus Securities Corporation,,,,,,,Or Call:,,,
293,,6363044/2424317,Abacus Securities Corporation,,Philippine Stock Exch We Twr,,Exchange,Rd,Ortigas Center,Pasig City,Metro Manila,,
295,,2571979,Abacus Securities Inc.,,Federal Tower,,Dasmarinas,St,,,Metro Manila,,
296,,5562744,Abakkus Medical Diagnostic Services,,,4444,Calatagan,St,,Makati City,Metro Manila,,
297,,6360755/6360754,Abano Pamfilo Paras Pineda & Agustin Law Office,,Philippine Stock Exch Ea Twr,,Exchange,Rd,Ortigas Center,Pasig City,Metro Manila,,
299,,6360752/6360753,Abano Pamfilo Paras Pineda & Agustin Law Office,,,,,,,Or Call:,,,
301,,6360756,Abano Pamfilo Paras Pineda & Agustin Law Office,,,,,,,,,,
302,,8244589/8244588,"Abb, Inc.",,,,West Service,Rd,,Paranaque City,Metro Manila,,
304,,8244586/8238715,"Abb, Inc.",,,,,,,Or Call:,,,
306,,8238716/8244585,"Abb, Inc.",,,,,,,,,,
308,,8244587/8217771,"Abb, Inc.",,,,,,,,,,
310,,8217772/8217773,"Abb, Inc.",,,,,,,,,,
312,,8244581/8238714,"Abb, Inc.",,,,,,,,,,
314,,8217779/8217785,"ABB, Inc.",,,,West Service,Rd,,,Metro Manila,,
316,,8217780/8217777,"ABB, Inc.",,,,,,,Or Call:,,,
318,,8217775/8217784,"ABB, Inc.",,,,,,,,,,
320,,8217778/8217776,"ABB, Inc.",,,,,,,,,,
322,,8217783/8217781,"ABB, Inc.",,,,,,,,,,
324,,8290434/8290426,Abba Motors Inc.,,,8406,Dr a Santos,Ave,,,Metro Manila,,
326,,8265282/8268130,Abba Motors Inc.,,,,,,,Or Call:,,,
328,,8268160/8296690,Abba Motors Inc.,,,,,,,,,,
330,,5535245/5535240,Abba Motors Inc.,,,87,Dr a Santos,Ave,,,Metro Manila,,
332,,8296293/8296292,Abba Motors Inc.,,,,,,,Or Call:,,,
334,,8079626/8073955,Abc Laboratories,,Richville Corporate Tower,1107,Alabang-Zapote,Rd,Madrigal Business Park,,Metro Manila,,
336,,4000211/4000209,Abe Intl College of Business & Economics,,West East Center,1336,Taft,Ave,,,Metro Manila,,
338,,4000208,Abe Intl College of Business & Economics,,,,,,,Or Call:,,,
339,,9129578/9128366,Abe Intnl College for Business and Economics,,Rempson Department Store,878,Aurora,Bvd,,QC,Metro Manila,,
341,,8361667,ABENSON VENTURES DL1 APPLIANCE STORE,,Waltermart Sucat,,Dr a Santos,Ave,,,Metro Manila,,
342,,8362473,ABENSON VENTURES DL2 APPLIANCE STORE,,Waltermart Sucat,,Dr a Santos,Ave,,Paranaque City,Metro Manila,,
343,,8367197,ABENSON VENTURES DL3 APPLIANCE STORE,,Waltermart Sucat,,Dr a Santos,Ave,,Paranaque City,Metro Manila,,
344,,6562391,Abenson Ventures Inc.,,,18,Evangelista,St,,Pasig City,Metro Manila,,
345,,2569324,Abenson Ventures Inc.,,Robinsons Place Manila,,Pedro Gil,St,,Manila City,Metro Manila,,
346,,8872874/8872875,Abenson Ventures Inc.,,Ascott Hotel,,28TH,St,Bonifacio Global City,Taguig City,Metro Manila,,
348,,8158026/8875247,Abenson Ventures Inc.,,,,Alabang-Zapote,Rd,,,Metro Manila,,
350,,8158027/8872879,Abenson Ventures Inc.,,,,,,,Or Call:,,,
352,,8872882/8875250,Abenson Ventures Inc.,,,,,,,,,,
354,,6546740,Abenson Ventures Inc.,,,,,,,,,,
355,,2525798,"Abenson Ventures, Inc.",,Puregold Building,31,Tayuman,St,,Manila City,Metro Manila,,
356,,8503779,"Abenson Ventures, Inc.",,Filinvest Festival Supermall,1034,Alabang-Zapote,Rd,Filinvest Corporate City,Muntinlupa City,Metro Manila,,
357,,3650320,"Abenson Ventures, Inc.",,Puregold Building,300,Samson,Rd,,Caloocan City,Metro Manila,,
358,,5218569,"Abenson Ventures, Inc.",,Harrison Plaza Building,,M Adriatico,St,Harrison Plaza Compound,Manila City,Metro Manila,,
359,,8724320/2525878,"Abenson Ventures, Inc.",,Abenson Incorporated,269,Alabang-Zapote,Rd,,Las Pinas City,Metro Manila,,
361,,7210590/8508850,"Abenson Ventures, Inc.",,The Missouri Square Bldg,101,Connecticut,St,,,Metro Manila,,
363,,6388060,"Abenson Ventures, Inc.",,Edsa Shangri-La Plaza Mall,,Shaw,Bvd,,,Metro Manila,,
