Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,sam_estate,City,Province,Product,class_code
2,8128876/8122320,Equicom Savings Bank Inc.,,,,,,,,,MLABUS2016_MLABUSWP,
2,5533023/8125079,Equicom Savings Bank Inc.,,,,,,,,,MLABUS2016_MLABUSWP,
2,8127251/8121557,Equicom Savings Bank Inc.,,,,,,,,,MLABUS2016_MLABUSWP,
2,8939088/8932541,Equicom Savins Bank,,Odc International Plaza,219,Salcedo,St,Legaspi Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8932540,Equicom Savins Bank,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,8432063,Equicom Shared Services Inc.,,Algo Center,162,L P Leviste,St,Salcedo Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8970237,Equicom Systems Mgt Inc,,,3308,Zapote,St,,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,5231051/5239129,Equiglobal Logistics Corporation,,Champ Building,,A Bonifacio,Drv,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,5232472/5231535,Equiglobal Logistics Corporation,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,8623041/8623057,Equilibrium Intertrade Network,,The Place Building,,National,Hwy,,Munt,Metro Manila,MLABUS2016_MLABUSWP,
2,8623042/8623040,Equilibrium Intertrade Network,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,6877620,Equimark Philippines Inc,,City & Land Mega Plaza Condo,,Garnet,Rd,Ortigas Center,Psg,Metro Manila,MLABUS2016_MLABUSWP,
2,3985549,Equipment Rental and Setup Services Inc.,,Panorama Compound,,Veterans,Rd,Veterans Center,Taguig City,Metro Manila,MLABUS2016_MLABUSWP,
2,4424019,Equiros Marketing,,St Martin Building,17,West Point,St,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,8387777,Equis Shared Services Pte. Ltd. Rohq,,111 Paseo de Roxas Building,111,Paseo de Roxas,Ave,Legaspi Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8994170,Equitable Computer Services Incorpo,,Cibi Information Center,3308,Zapote,St,,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,2415947/2427146,Equitable Computer Services Incorporated,,Equitable Bank Building,262,Juan Luna,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,2413203,Equitable Computer Svcs Inc,,Equitable Bank Building,262,Juan Luna,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,2430291/2433828,Equitable Insurance Corporation,,Equitable Bank Building,262,Juan Luna,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,2415768/2430293,Equitable Insurance Corporation,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,2430292/2430294,Equitable Insurance Corporation,,,,,,,,,MLABUS2016_MLABUSWP,
2,8485406/8919756,Equitiworld Securities Incorporated,,Tower One and Exchange Plaza,6767,Ayala,Ave,Salcedo Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8485401/8485423,Equitiworld Securities Incorporated,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,8485404/8485405,Equitiworld Securities Incorporated,,,,,,,,,MLABUS2016_MLABUSWP,
2,8485403,Equitiworld Securities Incorporated,,,,,,,,,MLABUS2016_MLABUSWP,
2,8945583,Era Philippines Inc,,Paseo Center,8757,Paseo de Roxas,Ave,Salcedo Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,5641858,Erdatechnology Foundation Incorporatedprincipal,,,,L Dela Paz,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,3672735,Ergheiz Computer Rentals,,,117,B Serrano,St,Bmba Compound,Caloocan City,Metro Manila,MLABUS2016_MLABUSWP,
2,8314132,Ergo Contracts Phils. Inc.,,,343,West Service,Rd,,Paranaque City,Metro Manila,MLABUS2016_MLABUSWP,
2,2931082/2931074,Ericae Plastic Product Center,,,10,Dalisay,St,Serrano Subdivision,Valenzuela City,Metro Manila,MLABUS2016_MLABUSWP,
2,2931083,Ericae Plastic Product Center,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,6372540,"Ericsson Telecommunications, Inc",,Octagon Center Building,,San Miguel,Ave,Ortigas Center,Psg,Metro Manila,MLABUS2016_MLABUSWP,
2,8314171,"Erikagen, Inc",,Star Mall,,National,Rd,,Munt,Metro Manila,MLABUS2016_MLABUSWP,
2,8215453,"Erikagen, Inc",,Design and Packaging Ind Inc,,1st,St,Cervantes Compound,Paranaque City,Metro Manila,MLABUS2016_MLABUSWP,
2,8236314/5118589,"Erikagen, Inc",,Cervantes Compound,,West Service,Rd,,Paranaque City,Metro Manila,MLABUS2016_MLABUSWP,
2,2826508,Erma Industries Incorporated,,,,Northbay,Bvd,,Navotas City,Metro Manila,MLABUS2016_MLABUSWP,
2,5242632/5213907,Ermita Tourist Development Corporation,,,1166,Arquiza,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,5242635/5213908,Ermita Tourist Development Corporation,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,5242631/5242634,Ermita Tourist Development Corporation,,,,,,,,,MLABUS2016_MLABUSWP,
2,5258268,Ermita Tourist Dev`t Corp,,,1166,M H Del Pilar,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,3731530/3731524,Erza Food Haus,,,7,Gen Luna,St,,Malabon City,Metro Manila,MLABUS2016_MLABUSWP,
2,2887771,Esajral Garments,,,,Tanigue,St,Kaunlaran Village Phase 3c,Caloocan City,Metro Manila,MLABUS2016_MLABUSWP,
2,8187772/8187661,Escaler and Company Incorporated,,National Life Insurance Bldg,6762,Ayala,Ave,Legaspi Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8187663/8188154,Escaler and Company Incorporated,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,8187662/8187664,Escaler and Company Incorporated,,,,,,,,,MLABUS2016_MLABUSWP,
2,8427408/8427406,Escience Corp,,Richville Corporate Tower,1107,Alabang-Zapote,Rd,Madrigal Business Park,Munt,Metro Manila,MLABUS2016_MLABUSWP,
2,8427407,Escience Corp,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,5569297,Escience Corporation,,Richville Corporate Tower,1107,Alabang-Zapote,Rd,Madrigal Business Park,Munt,Metro Manila,MLABUS2016_MLABUSWP,
2,9422901,Escon Enterprises,,,9,Majestic Subdivision,St,Majestic Subdivision,Mkna,Metro Manila,MLABUS2016_MLABUSWP,
2,8340889,Esjjj Food Corp.,,Waltermart,790,Chino Roces,Ave,Kayamanan A,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8567065,Esoft Inc,,Robinson Summit Center,6783,Ayala,Ave,Salcedo Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8328881/8323658,Esp Collection Agency,,Azphi Building,2709,Ma Aurora,St,,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8328882,Esp Collection Agency,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,5317941,Espafil Import and Export Corporation,,,5,Cordillera,St,,Mand,Metro Manila,MLABUS2016_MLABUSWP,
2,7242180,Espana Extension Ice Plant,,,1879,Espana,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,7431739,Espanad Tuazon Shell Service Station,,,,Victory,Ave,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,8564739,"Esquire International Financing, Inc",,Allegro Center,2284,Chino Roces,Ave,,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,6382543/6383875,Esquivias Cruz Conlu Law Offices,,Jollibee Plaza,,F Ortigas Jr,Rd,Ortigas Center,Psg,Metro Manila,MLABUS2016_MLABUSWP,
2,6383756/6383749,Esquivias Cruz Conlu Law Offices,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,8150000/8154264,Ess Manufacturing Company Inc,,Pb Com Tower,6795,Ayala,Ave,Salcedo Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,4701806/4701446,Essensuals Toni & Guy Manila Inc.,,Sm Megamall A,,Edsa,Ave,,Mand,Metro Manila,MLABUS2016_MLABUSWP,
2,7331214/7331154,"Essilor Philippines Optical Distribution, Inc",,Shoppers Gold Building,,Rizal,Ave,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,7343710,"Essilor Philippines Optical Distribution, Inc",,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,9831166,Estrella Ice Plant & Cold Storage,,,,East Service,Rd,,Valenzuela City,Metro Manila,MLABUS2016_MLABUSWP,
2,3628768,Eternal Gardens Memorial Park,,Dominga 3 Building,2113,Chino Roces,Ave,,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8964006/8964003,Eternal Word Foundation Inc,,Parkville Apartment Condo,7626,Guijo,St,,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,5327027/5327026,Eterton Multi Resources Corporation,,,725,F Blumentritt,St,,Mand,Metro Manila,MLABUS2016_MLABUSWP,
2,5327025/5327024,Eterton Multi Resources Corporation,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,5327022/5327023,Eterton Multi Resources Corporation,,,,,,,,,MLABUS2016_MLABUSWP,
2,5327021,Eterton Multi Resources Corporation,,,168,San Francisco,St,,Mand,Metro Manila,MLABUS2016_MLABUSWP,
2,9529447,Etna Motors Inc.,,Everest Motors Inc. Bldg,,Commonwealth,Ave,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,5219521/9529118,Etna Motors Inc.,,,37,Quezon,Ave,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,5219526/2360464,Etna Motors Inc.,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
